cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","54","No cuenta con el servicio","13620","SAN CRISTOBAL","Cabecera municipal",
"13","BOLIVAR","372","Si cuenta con el servicio","13620","SAN CRISTOBAL","Centros poblados",
"13","BOLIVAR","27","No cuenta con el servicio","13620","SAN CRISTOBAL","Centros poblados",
"13","BOLIVAR","19","Si cuenta con el servicio","13620","SAN CRISTOBAL","Rural disperso",
"13","BOLIVAR","20","No cuenta con el servicio","13620","SAN CRISTOBAL","Rural disperso",
"13","BOLIVAR","1683","Si cuenta con el servicio","13620","SAN CRISTOBAL","Total",
"13","BOLIVAR","101","No cuenta con el servicio","13620","SAN CRISTOBAL","Total",
"13","BOLIVAR","2636","Si cuenta con el servicio","13647","SAN ESTANISLAO","Cabecera municipal",
"13","BOLIVAR","166","No cuenta con el servicio","13647","SAN ESTANISLAO","Cabecera municipal",
"13","BOLIVAR","882","Si cuenta con el servicio","13647","SAN ESTANISLAO","Centros poblados",
"13","BOLIVAR","183","No cuenta con el servicio","13647","SAN ESTANISLAO","Centros poblados",
"13","BOLIVAR","58","Si cuenta con el servicio","13647","SAN ESTANISLAO","Rural disperso",
"13","BOLIVAR","93","No cuenta con el servicio","13647","SAN ESTANISLAO","Rural disperso",
"13","BOLIVAR","3576","Si cuenta con el servicio","13647","SAN ESTANISLAO","Total",
"13","BOLIVAR","442","No cuenta con el servicio","13647","SAN ESTANISLAO","Total",
"13","BOLIVAR","477","Si cuenta con el servicio","13650","SAN FERNANDO","Cabecera municipal",
"13","BOLIVAR","22","No cuenta con el servicio","13650","SAN FERNANDO","Cabecera municipal",
"13","BOLIVAR","863","Si cuenta con el servicio","13650","SAN FERNANDO","Centros poblados",
"13","BOLIVAR","322","No cuenta con el servicio","13650","SAN FERNANDO","Centros poblados",
"13","BOLIVAR","218","Si cuenta con el servicio","13650","SAN FERNANDO","Rural disperso",
"13","BOLIVAR","417","No cuenta con el servicio","13650","SAN FERNANDO","Rural disperso",
"13","BOLIVAR","1558","Si cuenta con el servicio","13650","SAN FERNANDO","Total",
"13","BOLIVAR","761","No cuenta con el servicio","13650","SAN FERNANDO","Total",
"13","BOLIVAR","33","Si cuenta con el servicio","13654","SAN JACINTO","Cabecera municipal",
"13","BOLIVAR","5251","No cuenta con el servicio","13654","SAN JACINTO","Cabecera municipal",
"13","BOLIVAR","2","Si cuenta con el servicio","13654","SAN JACINTO","Centros poblados",
"13","BOLIVAR","442","No cuenta con el servicio","13654","SAN JACINTO","Centros poblados",
"13","BOLIVAR","8","Si cuenta con el servicio","13654","SAN JACINTO","Rural disperso",
"13","BOLIVAR","457","No cuenta con el servicio","13654","SAN JACINTO","Rural disperso",
"13","BOLIVAR","43","Si cuenta con el servicio","13654","SAN JACINTO","Total",
"13","BOLIVAR","6150","No cuenta con el servicio","13654","SAN JACINTO","Total",
"13","BOLIVAR","568","Si cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Cabecera municipal",
"13","BOLIVAR","65","No cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Cabecera municipal",
"13","BOLIVAR","255","Si cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Centros poblados",
"13","BOLIVAR","393","No cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Centros poblados",
"13","BOLIVAR","34","Si cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Rural disperso",
"13","BOLIVAR","917","No cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Rural disperso",
